,AIS_10_120,AIS_10_60,AIS_10_15,AIS_10_5,AIS_10_0.5
BWC_Squish,11.036888421352986,10.73649267714539,7.34327980578657,7.972057897099162,122.18421852070269
BWC_STTrace,4.915610350615602,4.378346586298923,4.303654676213373,5.983323744795437,106.17142153099923
BWC_STTrace_Delay,8.351570009526448,8.85310169801859,7.618215313075643,6.600632593428541,5.053279567070066
BWC_STTrace_Imp_Delay,1.4260491969397673,1.4338578729893805,1.455955595077862,1.5297061465576878,1.4474801170890823
BWC_STTrace_Imp,1.4441357818257259,1.4799613631214905,1.6757203951779764,4.6591137895542,106.17142153099923
BWC_DR,13.578443976562667,15.974346645287739,14.7559313547935,14.296756223358924,11.2250612337693

distances:
                       AIS_10_120  AIS_10_60  AIS_10_15   AIS_10_5  AIS_10_0.5
BWC_Squish              11.036888  10.736493   7.343280   7.972058  122.184219

BWC_STTrace              4.915610   4.378347   4.303655   5.983324  106.171422
BWC_STTrace_Delay        8.351570   8.853102   7.618215   6.600633    5.053280

BWC_STTrace_Imp          1.444136   1.479961   1.675720   4.659114  106.171422
BWC_STTrace_Imp_Delay    1.426049   1.433858   1.455956   1.529706    1.447480

BWC_DR                  13.578444  15.974347  14.755931  14.296756   11.225061

delays:
                        AIS_10_120    AIS_10_60   AIS_10_15    AIS_10_5  AIS_10_0.5
BWC_Squish             4560.986979  2218.717500  456.380417   89.535143    5.127987

BWC_STTrace            3671.160208  1838.034375  379.098854   80.195076    4.096707
BWC_STTrace_Delay      3926.668041  2090.969597  783.222715  507.750807  317.113159

BWC_STTrace_Imp        3708.115833  1801.625521  379.822500   80.283249    4.096707
BWC_STTrace_Imp_Delay  4201.047099  2310.622591  889.050191  576.549807  370.843352

BWC_DR                 3539.513437  1779.566875  436.663750  141.299979   16.800417
